"N","Camisa","Nome","InStat Index","Partidas jogadas","Minutos jogados","Escalações no time titular","Substituído","Substituindo","Gols","Assistências","Impedimentos","Cartões amarelos","Cartões vermelhos","Chutes","Chutes/gol","Pênalti","Pênaltis convertidos","Cobranças de pênalti convertidas, %","Passes","% de precisão dos passes","Passes chave","Cruzamentos","% de precisão nos cruzamentos","Bolas perdidas","Bolas perdidas / no próprio campo","Bolas recuperadas","Bolas recuperadas no campo do adversário","xG (Gols esperados)","Disputas","% disputas ganhas","Disputas no ataque","Disputas aéreas","% disputas aéreas ganhas","Dribles","Desarmes","Interceptações","Rebotes"
"290",3,"E. Zavaleta","236",5,"312","3","1","2","0","0","0","0","0","0","0","0","0","0","174","92%","0","0","0","7","4","20","1","0","10","90%","0","6","83%","0","2","22","10"
"291",2,"Andrew Farrell","236",25,"2323","24","0","1","0","0","0","2","0","0","0","0","0","0","1175","86%","3","2","100%","79","25","199","34","0","284","65%","44","96","60%","15","61","159","180"
"292",27,"Brian Anunga Tah","236",17,"1026","10","5","7","0","0","0","1","0","2","0","0","0","0","505","88%","3","5","0","44","11","72","18","0.06","154","56%","56","23","48%","16","49","52","92"
"293",22,"Matt LaGrassa","236",9,"409","4","3","5","0","0","0","0","0","1","1","0","0","0","185","87%","0","3","67%","22","9","23","3","0.02","65","58%","30","15","47%","2","18","28","26"
"294",32,"Marco Farfan","236",15,"960","9","3","6","0","0","0","2","0","4","1","1","1","100%","419","84%","2","9","22%","55","19","73","10","0.1","160","58%","55","34","56%","26","48","50","69"
"295",7,"J. Lewis","236",19,"821","8","7","11","5","0","3","2","0","25","12","0","0","0","229","72%","11","38","11%","71","6","19","4","3.1","121","45%","81","12","58%","38","18","16","34"
"296",23,"C. Cásseres","236",20,"1455","14","3","6","2","2","0","3","0","13","6","0","0","0","709","81%","7","12","25%","94","17","100","33","0.8","319","56%","143","46","65%","47","92","97","123"
"297",3,"J. Bornstein","235",20,"1228","13","8","7","1","1","0","2","0","3","3","0","0","0","583","80%","8","27","37%","66","19","90","23","0.15","213","61%","55","54","61%","21","49","82","70"
"298",22,"Jukka Raitala","235",16,"1502","15","0","1","0","0","0","2","0","3","2","0","0","0","840","86%","6","14","36%","68","31","101","21","0.09","151","64%","23","42","64%","3","56","81","88"
"299",14,"A. Flores","235",4,"199","3","3","1","1","0","1","0","0","2","2","0","0","0","71","80%","2","2","0","17","2","6","1","0.17","31","29%","20","6","17%","9","7","7","17"
"300",9,"F. Mora","235",24,"1413","14","8","10","7","3","5","0","0","34","19","1","1","100%","357","78%","12","10","10%","144","25","12","6","7","288","36%","244","111","29%","41","18","16","35"
"301",22,"Ben Sweat","235",23,"1815","20","7","3","0","2","1","6","0","10","5","0","0","0","916","83%","9","49","33%","106","31","113","21","0.96","252","51%","97","47","62%","49","66","102","113"
"302",15,"Z. Guillard","235",23,"2120","21","3","2","0","0","1","2","0","11","1","0","0","0","1066","76%","19","71","23%","180","44","86","13","0.46","286","49%","136","44","61%","77","61","89","90"
"303",28,"P. Bonilla","235",15,"1140","12","8","3","0","1","0","4","0","3","0","0","0","0","473","78%","8","21","24%","80","17","67","12","0.08","189","57%","69","46","61%","33","52","67","52"
"304",19,"Didie Traore","235",6,"111","0","0","6","0","0","0","0","0","0","0","0","0","0","77","75%","2","8","25%","8","2","7","1","0","35","66%","18","7","86%","12","7","5","8"
"305",21,"C. Fierro","234",19,"1172","12","8","7","2","3","4","2","0","21","8","0","0","0","325","71%","14","43","26%","96","18","23","8","3.2","155","34%","85","19","26%","33","40","20","47"
"306",28,"J. Mora","234",21,"1720","19","6","2","0","0","2","3","0","5","1","0","0","0","835","81%","3","35","20%","102","37","90","18","0.15","268","55%","86","60","40%","37","75","93","81"
"307",5,"Aljaz Struna","234",17,"1550","16","2","1","0","0","1","6","0","2","0","0","0","0","814","90%","0","1","0","39","14","92","10","0.48","137","58%","17","58","64%","1","27","113","75"
"308",27,"Robert Beric","234",23,"2083","22","7","1","12","1","30","1","0","56","30","2","1","49%","473","73%","12","33","15%","226","36","26","15","11","381","35%","303","90","22%","39","38","30","49"
"309",20,"G. Thórarinsson","234",20,"779","7","3","13","0","1","0","1","0","5","1","1","0","0","498","85%","4","26","35%","41","17","55","17","0.25","108","56%","28","25","48%","8","29","46","48"
"310",6,"S. Salinas","234",26,"1006","5","4","21","3","2","1","1","0","8","4","0","0","0","420","80%","9","30","20%","95","19","35","4","1.17","168","44%","100","27","41%","53","38","33","39"
"311",13,"Victor Ulloa","234",24,"1577","17","10","7","0","2","1","1","0","9","1","0","0","0","663","87%","4","4","25%","75","18","81","19","0.58","222","52%","84","56","55%","14","62","82","91"
"312",16,"Maikel Chang Ramirez","234",19,"1164","12","10","7","1","4","1","1","0","11","4","0","0","0","431","74%","22","50","38%","96","17","30","9","1.21","166","40%","98","39","26%","34","33","47","81"
"313",11,"Brooks Lennon","234",23,"1911","19","3","4","2","3","4","3","0","14","5","0","0","0","959","82%","21","103","31%","155","32","72","22","1.69","266","42%","139","66","47%","36","59","80","88"
"314",20,"Erik Holt","234",7,"409","4","0","3","0","0","1","1","0","0","0","0","0","0","248","85%","0","0","0","13","3","23","2","0","43","65%","8","13","62%","1","12","22","35"
"315",11,"Ariel Lassiter","234",16,"1004","10","8","6","3","1","8","2","0","28","15","0","0","0","286","77%","9","26","19%","93","14","10","2","3.9","126","40%","99","13","38%","52","13","23","29"
"316",55,"Michael Baldisimo","234",13,"769","7","4","6","1","0","0","5","0","4","3","0","0","0","429","87%","1","4","0","49","22","31","4","0.14","81","52%","33","8","63%","12","21","37","50"
"317",19,"Benji Michel","234",26,"1085","8","7","18","6","2","4","2","0","16","11","1","1","100%","246","81%","6","7","29%","88","15","18","3","3.3","213","44%","160","42","55%","52","26","29","41"
"318",26,"Efrain Alvarez","234",16,"773","6","5","10","1","1","0","0","0","19","5","0","0","0","387","74%","15","10","30%","77","9","18","6","1.73","114","36%","60","11","36%","33","30","18","36"
"319",29,"Samuel Junqua","234",9,"289","2","1","7","1","0","0","0","0","3","3","0","0","0","94","78%","1","9","11%","22","2","11","3","0.59","49","47%","31","18","33%","8","8","15","12"
"320",17,"Mathieu Deplagne","233",16,"1378","14","2","2","0","0","2","6","0","2","0","0","0","0","833","86%","2","8","0","85","32","65","9","0.05","163","58%","45","41","59%","17","39","80","64"
"321",29,"Franco Daniel Jara","233",21,"1692","18","11","3","7","0","12","4","0","39","21","2","2","100%","344","79%","15","14","36%","162","31","14","6","8","331","29%","257","68","22%","70","31","16","58"
"322",27,"Boniek García","233",18,"902","7","4","11","0","0","0","5","0","12","1","0","0","0","388","85%","5","4","50%","38","12","29","8","0.76","114","60%","48","19","68%","12","37","33","60"
"323",70,"C. Penilla","233",18,"1117","11","7","7","0","3","0","0","0","19","7","0","0","0","379","74%","15","30","30%","109","8","27","13","1.27","193","39%","132","22","23%","66","31","32","47"
"324",10,"Edison Flores","233",13,"947","11","7","2","0","3","3","1","0","13","3","0","0","0","348","84%","18","18","50%","75","22","15","8","0.64","148","36%","97","30","40%","34","25","22","41"
"325",94,"Marlon Hairston","233",13,"580","5","4","8","1","0","1","2","0","4","1","0","0","0","259","88%","1","4","25%","32","7","39","13","1.02","90","54%","34","24","67%","5","21","29","45"
"326",9,"L. Amarilla","233",10,"645","8","8","2","3","1","4","2","0","17","7","1","0","0","173","80%","3","5","40%","77","12","3","0","2.4","106","30%","88","51","33%","15","4","8","15"
"327",26,"Tim Parker","233",20,"1827","19","0","1","0","1","1","2","1","1","1","0","0","0","640","80%","3","1","0","57","14","181","21","0.14","173","68%","29","67","72%","11","27","155","133"
"328",4,"Ranko Veselinovic","233",19,"1621","17","3","2","0","0","0","2","0","3","1","0","0","0","690","86%","1","1","0","61","26","116","8","0.17","161","61%","38","66","62%","18","37","133","88"
"329",6,"Tony Gallacher","233",10,"523","5","3","5","0","1","0","0","0","2","0","0","0","0","289","81%","2","12","42%","44","18","39","8","0.04","64","72%","14","26","65%","3","20","38","25"
"330",17,"Sergio Santos","233",24,"1477","20","19","4","9","2","11","4","0","34","18","1","0","0","384","64%","20","32","25%","195","17","28","11","6","351","40%","285","145","37%","51","28","42","56"
"331",44,"Raheem Edwards","233",15,"370","2","2","13","0","2","0","0","0","7","1","1","1","100%","150","75%","8","8","38%","51","6","12","3","0.66","111","42%","80","19","37%","34","17","9","14"
"332",18,"Sebastian Berhalter","233",9,"430","4","3","5","0","0","0","1","0","6","0","0","0","0","274","86%","1","0","0","25","7","25","10","0.23","53","53%","19","9","56%","11","16","24","27"
"333",28,"Cameron Duke","233",8,"249","2","2","6","0","0","0","1","0","2","1","0","0","0","53","83%","2","2","50%","16","4","6","2","0.17","69","42%","39","7","29%","19","22","7","13"
"334",16,"Sacha Kljestan","232",15,"823","8","4","7","0","0","0","2","0","10","3","0","0","0","452","86%","7","7","43%","55","12","52","19","1.24","109","52%","48","28","64%","13","25","44","74"
"335",26,"Laurent Ciman","232",12,"587","5","1","7","0","0","0","2","0","2","1","0","0","0","305","86%","0","0","0","23","9","50","5","0.11","71","65%","12","28","61%","5","21","43","41"
"336",34,"Youness Mokhtar","232",19,"880","10","9","9","3","1","2","1","0","19","7","0","0","0","344","78%","9","25","24%","81","6","25","13","1.67","163","41%","106","19","37%","47","31","17","57"
"337",7,"Andy Polo","232",21,"1040","8","3","13","2","1","2","0","0","16","7","0","0","0","479","87%","8","14","21%","62","15","31","8","0.72","134","43%","82","19","26%","28","33","32","65"
"338",6,"Scott Caldwell","232",22,"1526","18","10","4","0","0","0","4","1","1","1","0","0","0","832","91%","3","2","49%","54","22","80","26","0.03","216","49%","56","45","44%","6","76","88","97"
"339",22,"Derrick Etienne","232",24,"1196","10","9","14","2","3","7","0","0","17","4","0","0","0","379","74%","24","26","19%","109","17","28","4","1.69","160","40%","104","30","20%","38","25","30","58"
"340",29,"Ismael Tajouri","232",17,"824","7","5","10","3","1","3","0","0","26","10","2","2","100%","332","86%","3","9","44%","59","11","14","5","3.2","109","37%","75","12","25%","33","20","15","31"
"341",21,"Lassi Lappalainen","232",14,"753","7","4","7","4","0","4","0","0","11","11","0","0","0","250","78%","5","10","10%","86","21","14","2","1.78","127","39%","92","10","30%","36","25","14","21"
"342",96,"Andrew David Gutman","232",22,"1673","16","3","6","0","0","1","4","0","2","0","0","0","0","785","81%","5","31","10%","112","29","94","15","0.1","237","59%","118","53","57%","62","58","84","99"
"343",16,"Joel Waterman","232",7,"591","6","1","1","0","1","0","1","0","1","0","0","0","0","312","89%","3","2","0","20","6","39","6","0.1","44","45%","7","18","50%","2","8","40","39"
"344",14,"Djordje Mihalovic","232",5,"325","3","1","2","0","3","1","1","0","2","1","0","0","0","140","72%","6","7","14%","29","4","9","1","0.48","40","48%","21","7","43%","6","9","12","19"
"345",7,"Jesus Ferreira","232",21,"1108","14","14","7","1","2","2","3","0","19","7","0","0","0","434","78%","9","11","9%","82","17","32","7","2","131","47%","64","18","28%","18","43","29","56"
"346",11,"Matias Pellegrini","232",20,"1093","12","12","8","1","2","1","2","0","18","6","0","0","0","352","80%","6","13","23%","96","16","31","14","2.1","229","46%","134","40","35%","36","52","45","55"
"347",17,"G. Mackay0Steven","231",25,"1222","12","13","13","2","1","12","2","0","23","15","0","0","0","356","78%","15","19","16%","91","18","30","10","3","171","43%","93","26","35%","28","49","36","42"
"348",66,"B. Wright0Phillips","231",21,"1305","17","17","4","9","5","8","0","0","27","18","0","0","0","233","73%","12","3","0","109","18","15","5","7","205","34%","163","63","30%","23","23","30","36"
"349",20,"N. Mezquida","231",18,"556","2","2","16","1","1","0","1","0","19","9","0","0","0","257","77%","11","9","33%","56","10","17","11","1.87","95","39%","59","11","36%","19","23","21","36"
"350",23,"Jake Mulraney","231",18,"771","8","6","10","1","1","1","2","1","10","6","0","0","0","309","77%","13","36","28%","71","14","20","5","1.07","126","46%","75","16","12%","41","32","21","34"
"351",4,"Russell Canouse","231",15,"1348","15","1","0","2","0","0","6","1","7","4","0","0","0","667","88%","5","13","31%","51","20","90","23","1.39","199","54%","58","50","58%","13","61","73","88"
"352",44,"Marvin Loria","231",21,"975","12","13","9","0","0","4","0","0","18","8","1","1","100%","310","80%","7","18","22%","93","18","33","10","1.03","163","38%","117","23","22%","46","27","47","50"
"353",2,"Christopher Cadden","231",10,"421","3","1","7","0","0","0","1","0","0","0","1","0","0","222","82%","5","16","19%","24","4","24","3","0","45","53%","19","18","28%","7","11","17","29"
"354",22,"C. Paredes","231",18,"975","9","6","9","0","0","0","5","0","13","5","0","0","0","456","81%","4","3","34%","64","18","59","15","1.44","146","52%","46","19","79%","19","51","63","72"
"355",16,"Ricardo Pepi","231",19,"589","4","4","15","3","1","2","0","0","17","8","1","1","100%","135","86%","3","1","100%","50","13","6","2","4","106","34%","76","31","29%","11","17","8","21"
"356",21,"Aidan Morris","231",11,"518","3","1","8","0","0","0","3","0","2","0","0","0","0","224","86%","4","4","0","21","5","26","10","0.13","94","54%","33","6","50%","12","40","23","32"
"357",25,"R. Feltscher","230",17,"1344","13","1","4","0","2","1","2","0","4","1","0","0","0","696","78%","9","47","23%","96","18","72","7","1.15","186","60%","78","53","70%","18","40","65","92"
"358",28,"Brek Shea","230",13,"689","6","4","7","4","0","4","1","0","14","8","0","0","0","268","70%","7","27","11%","61","10","21","3","1.89","78","46%","52","13","77%","21","15","26","34"
"359",8,"Jonathan dos Santos","230",13,"742","7","5","6","0","0","0","1","0","2","0","0","0","0","444","93%","4","6","33%","41","11","26","9","0.09","93","40%","46","13","69%","12","23","28","44"
"360",15,"Andy Rose","230",13,"924","10","2","3","0","1","0","2","1","4","2","0","0","0","443","86%","3","1","0","34","9","49","4","0.44","62","61%","12","29","76%","0","9","63","42"
"361",39,"M. Egbo","230",9,"474","6","5","3","1","1","0","1","0","4","2","1","1","100%","242","72%","3","15","47%","45","7","26","5","0.9","67","58%","22","17","59%","12","14","32","29"
"362",27,"Sean Davis","230",15,"1233","14","6","1","0","0","0","2","0","6","2","0","0","0","683","83%","0","10","20%","75","19","71","25","0.51","161","49%","62","32","62%","15","43","100","123"
"363",3,"Alex De John","230",6,"91","0","0","6","0","0","0","0","0","0","0","0","0","0","23","65%","1","0","0","3","2","5","0","0","14","71%","7","9","56%","2","2","5","5"
"364",21,"Felipe Hernandez","230",17,"878","8","6","9","0","0","0","0","0","7","1","0","0","0","194","80%","2","3","0","39","10","27","10","1.02","104","34%","54","15","33%","18","29","43","50"
"365",24,"A. Najar","229",8,"207","1","2","7","0","1","1","1","0","0","0","0","0","0","148","84%","3","8","38%","19","0","19","8","0","41","44%","17","12","58%","8","8","12","27"
"366",11,"Kelyn Jaynes Rowe","229",20,"1137","11","7","9","0","0","0","3","0","21","6","0","0","0","555","79%","8","23","26%","81","17","58","19","1.61","148","48%","68","28","50%","24","38","61","72"
"367",10,"Corey Baird","229",22,"1690","18","8","4","2","3","6","5","0","29","7","0","0","0","573","77%","15","26","35%","149","29","37","11","4","243","31%","163","42","19%","69","47","37","94"
"368",15,"Chris Duvall","229",13,"1103","12","3","1","0","0","0","3","0","4","0","0","0","0","442","81%","3","20","25%","47","17","51","7","0.09","123","55%","40","20","60%","20","48","57","49"
"369",28,"Jake Nerwinski","229",22,"1954","19","5","3","2","0","0","0","0","5","4","0","0","0","901","86%","5","27","15%","89","36","126","16","1.47","198","57%","61","48","54%","33","48","138","111"
"370",15,"Tony Rocha","229",12,"106","0","0","12","1","0","0","0","0","3","1","1","1","100%","50","82%","3","2","50%","11","1","7","5","0.4","27","52%","14","1","100%","5","8","6","6"
"371",21,"Tate Schmitt","229",4,"269","3","1","1","0","0","0","0","0","1","0","0","0","0","131","77%","1","6","17%","27","6","11","2","0.02","36","36%","16","5","40%","9","10","17","13"
"372",9,"Adam Buksa","228",28,"2076","21","8","7","7","1","4","5","0","68","32","1","0","0","372","77%","7","3","34%","201","30","24","13","10","513","38%","418","212","49%","55","43","39","43"
"373",11,"Yamil Rodrigo Asad","228",23,"1723","18","9","5","3","2","3","5","0","20","8","2","2","100%","804","81%","8","17","47%","167","39","60","18","2.7","305","45%","169","46","26%","63","72","64","93"
"374",33,"Paul Marie","228",12,"392","4","4","8","1","0","0","1","0","3","2","0","0","0","212","77%","1","12","25%","45","7","23","6","0.07000000000000001","88","50%","44","15","53%","20","20","20","22"
"375",24,"Jason Pendant","228",21,"1836","18","1","3","0","2","1","2","0","8","0","0","0","0","1018","75%","15","56","21%","161","26","113","28","0.29","268","50%","95","77","55%","53","67","118","129"
"376",12,"Saad Abdul0Salaam","228",8,"474","5","2","3","0","0","1","0","0","2","0","0","0","0","213","87%","0","4","0","19","8","29","6","0.04","54","65%","22","18","67%","8","13","30","26"
"377",97,"Ralph Priso0Mbongue","228",5,"186","1","1","4","0","0","0","0","0","2","0","0","0","0","145","87%","0","1","0","12","3","10","3","0.1","30","70%","15","4","100%","8","10","8","10"
"378",15,"Kamohelo Mokotjo","227",9,"579","6","4","3","0","0","0","0","0","0","0","0","0","0","464","91%","1","2","50%","39","14","27","9","0","62","52%","29","9","56%","10","16","22","44"
"379",2,"Brad Shaun Smith","227",9,"270","1","1","8","0","0","0","1","0","2","1","0","0","0","148","76%","3","12","17%","28","4","14","3","0.15","46","50%","16","6","17%","8","20","12","18"
"380",37,"M. Urruti","227",16,"946","10","9","6","5","0","7","1","0","22","13","0","0","0","222","73%","6","8","25%","85","9","15","5","5.2","123","39%","76","8","13%","25","35","16","24"
"381",32,"Collen Warner","227",7,"289","4","3","3","0","0","0","1","0","1","0","0","0","0","139","91%","0","0","0","13","4","10","3","0.03","39","49%","16","8","75%","4","8","10","14"
"382",3,"Amro Tarek","227",12,"1023","10","0","2","0","0","1","3","0","1","0","0","0","0","370","83%","1","5","40%","36","14","92","15","0.15","137","70%","19","50","74%","3","29","86","60"
"383",19,"Erik Hurtado","227",17,"489","3","2","14","5","0","2","0","0","20","7","0","0","0","128","78%","0","3","67%","54","8","2","0","2.2","136","40%","123","37","41%","25","7","4","9"
"384",26,"Jon Gallagher","227",16,"1033","11","8","5","4","0","7","0","0","13","7","0","0","0","284","72%","7","24","13%","83","15","19","6","1.82","153","43%","98","26","42%","30","34","22","32"
"385",41,"James Mzamo Musa","226",6,"182","2","1","4","0","0","0","1","0","0","0","0","0","0","101","88%","0","1","0","4","1","17","6","0","26","58%","4","7","57%","1","10","13","15"
"386",26,"J. Corrales","226",16,"1298","14","4","2","0","1","3","4","0","3","0","0","0","0","732","82%","5","26","38%","92","26","71","7","0.06","179","51%","74","43","44%","37","46","90","81"
"387",5,"J. Moreno","226",20,"1890","20","2","0","0","1","0","4","1","11","3","0","0","0","1094","89%","4","7","43%","71","26","96","35","0.63","225","49%","69","34","44%","16","67","99","163"
"388",10,"A. Romero","226",17,"1160","13","10","4","2","3","3","0","0","16","7","0","0","0","674","72%","33","31","32%","132","8","28","19","1.39","104","38%","65","18","22%","16","29","24","60"
"389",43,"Justin Jose Portillo","226",5,"284","3","1","2","0","0","0","1","0","1","0","0","0","0","143","85%","1","2","0","14","3","12","2","0.02","20","45%","3","2","50%","2","9","13","20"
"390",20,"Jasser Khemiri","226",5,"423","5","2","0","0","0","0","2","0","2","0","0","0","0","172","90%","0","0","0","18","5","27","1","0.57","33","67%","6","16","56%","0","4","32","16"
"391",22,"Griffin McDorman Yow","226",12,"440","4","4","8","2","0","1","0","0","5","5","0","0","0","91","76%","4","7","14%","27","5","13","2","0.28","79","47%","46","7","14%","12","23","22","19"
"392",31,"Kekuta Manneh","225",9,"284","3","3","6","1","1","1","1","0","10","6","0","0","0","88","70%","2","5","0","24","3","3","1","0.86","34","47%","26","6","33%","12","3","2","18"
"393",7,"M. Milinkovic","225",16,"962","11","10","5","1","4","1","0","0","9","3","0","0","0","250","82%","7","17","24%","76","19","27","10","1.1","159","35%","89","14","36%","41","42","33","42"
"394",14,"Amar Sejdic","225",15,"849","8","3","7","2","0","1","1","0","14","8","0","0","0","344","80%","7","5","20%","65","21","29","8","1.07","121","40%","66","9","22%","18","36","32","58"
"395",22,"Kwadwo Opoku","225",4,"115","0","0","4","0","1","0","1","0","1","0","0","0","0","37","86%","1","0","0","12","1","2","1","0.42","26","46%","23","5","20%","7","1","3","7"
"396",31,"Tsubasa Endoh","224",17,"690","7","4","10","1","0","1","1","0","9","5","0","0","0","258","83%","5","12","50%","49","13","18","7","1.24","92","45%","59","16","25%","19","19","19","25"
"397",26,"Thomas Liam McNamara","224",22,"1222","14","9","8","0","1","0","3","0","16","3","0","0","0","659","86%","7","13","15%","66","17","51","15","1.35","164","51%","83","22","41%","18","43","53","62"
"398",18,"J. Bizama","224",8,"621","6","1","2","0","0","1","1","0","3","2","0","0","0","272","79%","3","14","21%","34","9","38","2","0.36","74","50%","19","23","26%","6","22","44","28"
"399",27,"Liam Fraser","224",14,"493","4","3","10","0","0","0","1","0","3","0","0","0","0","380","90%","1","3","0","30","10","25","4","0.11","61","67%","15","10","60%","2","21","19","29"
"400",18,"Dylan Nealis","224",20,"1246","11","6","9","0","0","0","2","0","6","2","0","0","0","589","79%","9","24","13%","97","21","73","17","0.24","201","48%","74","59","53%","35","57","85","80"
"401",31,"Á. Barreal","224",5,"339","4","3","1","0","0","2","0","0","6","0","0","0","0","87","71%","0","4","50%","33","8","13","5","0.46","91","42%","55","6","17%","39","22","15","14"
"402",7,"Giuseppe Rossi","223",7,"197","1","1","6","1","0","1","0","0","6","3","0","0","0","94","81%","1","1","100%","16","2","4","2","0.52","27","52%","22","2","0","10","2","2","13"
"403",42,"Lee Nguyen","223",19,"945","8","6","11","1","1","1","2","0","11","6","1","1","100%","599","85%","14","5","60%","59","8","21","9","1.93","111","36%","51","16","31%","19","37","22","47"
"404",16,"Kaiansu Kei Kamara","223",18,"1111","11","5","7","4","1","4","1","0","28","11","1","1","100%","290","77%","2","9","0","120","26","7","5","4.9","222","39%","190","115","47%","29","10","19","39"
"405",25,"Andy Rios","223",25,"2013","22","11","3","5","3","12","6","0","24","10","1","1","100%","525","84%","7","4","25%","156","42","30","9","4.6","327","40%","246","96","43%","40","30","42","59"
"406",7,"Yuya Kubo","223",20,"1445","16","9","4","3","0","3","1","0","18","7","1","1","100%","505","80%","14","21","14%","133","32","31","7","1.61","257","42%","154","31","19%","65","49","32","63"
"407",23,"Taylor Washington","223",17,"505","2","0","15","0","1","3","2","0","1","0","0","0","0","215","78%","4","34","38%","31","6","26","9","0.04","66","45%","29","22","50%","9","12","27","35"
"408",29,"Mohammed Adams","223",13,"829","9","5","4","0","1","0","3","0","1","0","0","0","0","442","92%","4","1","0","37","7","41","13","0.03","108","50%","44","8","50%","19","41","34","57"
"409",3,"C. Gutiérrez","223",12,"799","8","2","4","0","1","0","2","0","0","0","0","0","0","453","83%","3","10","30%","43","12","46","4","0","71","51%","21","19","42%","6","21","48","39"
"410",27,"Laurence Wyke","223",7,"258","2","1","5","0","0","0","1","0","4","1","0","0","0","159","82%","0","1","0","24","5","21","3","0.2","31","52%","11","7","71%","3","6","17","22"
"411",18,"B. Servania","223",12,"440","4","4","8","0","0","0","1","0","1","0","0","0","0","167","79%","3","3","33%","31","10","11","2","0.03","59","47%","27","5","80%","5","17","12","25"
"412",21,"D. Jones","223",21,"1051","9","8","12","0","2","0","2","0","9","3","0","0","0","382","85%","3","6","17%","127","25","36","6","1.16","304","41%","231","91","37%","69","34","18","61"
"413",16,"Zico Bailey","223",5,"313","3","2","2","0","0","0","1","0","1","0","0","0","0","171","91%","2","4","50%","11","4","19","4","0.01","43","44%","11","7","29%","5","15","21","13"
"414",25,"Emanuel Maciel","223",12,"883","11","5","1","0","3","0","2","1","1","0","0","0","0","473","83%","6","3","67%","56","11","32","11","0.07000000000000001","71","46%","32","13","54%","10","16","41","54"
"415",18,"Daryl Dike","223",22,"1542","17","11","5","8","2","7","2","0","33","15","0","0","0","225","70%","14","0","0","181","37","17","8","5.5","352","39%","303","145","37%","47","11","17","30"
"416",17,"J. Altidore","222",15,"904","11","10","4","2","1","5","3","0","28","16","0","0","0","263","77%","6","5","40%","83","7","5","4","3.5","136","37%","114","45","49%","11","12","7","14"
"417",13,"Zdenek Ondrasek","222",5,"335","4","2","1","2","1","1","1","0","8","4","0","0","0","69","67%","2","0","0","25","9","3","1","1.48","57","39%","37","17","24%","4","10","5","11"
"418",21,"Giancarlo Gonzalez","222",10,"804","9","0","1","1","0","0","1","1","3","2","0","0","0","288","81%","0","0","0","25","11","48","5","0.22","51","57%","8","12","83%","4","11","60","42"
"419",4,"G. Garza","222",9,"535","7","6","2","0","0","0","1","0","1","0","0","0","0","271","87%","3","19","32%","23","5","31","3","0.01","54","46%","18","6","67%","7","12","30","23"
"420",14,"D. Fagúndez","222",19,"1048","9","6","10","1","1","0","2","0","16","5","0","0","0","517","83%","4","6","17%","71","14","33","7","2.3","143","45%","72","28","39%","22","42","30","71"
"421",17,"Will Bruin","222",18,"694","5","4","13","3","1","4","1","0","15","8","0","0","0","161","70%","8","3","0","66","5","3","1","3.1","115","43%","95","43","51%","14","8","7","16"
"422",3,"Jalil Anibaba","222",13,"634","6","3","7","0","0","0","2","0","5","2","0","0","0","253","77%","2","13","8%","35","6","34","7","0.47","59","64%","14","22","64%","0","17","36","27"
"423",94,"J. Medranda","222",4,"51","0","0","4","0","0","0","0","0","1","1","0","0","0","31","74%","1","2","50%","3","0","3","1","0.09","12","50%","6","3","67%","0","2","4","4"
"424",9,"L. Cavallini","222",18,"1558","16","5","2","6","0","7","7","1","38","17","2","0","0","245","71%","7","3","34%","184","34","18","5","8","343","41%","292","122","42%","56","25","20","37"
"425",9,"M. Manotas","222",20,"1424","15","4","5","3","1","5","0","1","45","21","1","0","0","343","80%","12","10","0","119","14","8","3","5.5","194","27%","164","52","25%","37","15","27","37"
"426",3,"Chris Odoi0Atsem","222",15,"848","8","4","7","1","0","0","2","0","4","2","0","0","0","363","78%","5","25","28%","62","15","47","9","0.83","114","54%","39","37","54%","21","22","47","60"
"427",29,"Alex Muyl","222",23,"1501","18","16","5","0","3","4","1","0","16","6","0","0","0","420","78%","13","22","14%","141","23","49","11","2.1","344","39%","206","64","36%","44","82","67","74"
"428",5,"Eric Daian Remedi","222",18,"1257","12","6","6","1","1","1","4","0","8","2","0","0","0","641","86%","4","3","66%","80","23","51","15","0.8100000000000001","181","46%","82","24","58%","37","46","35","75"
"429",22,"Emmanuel Twumasi","222",5,"97","0","0","5","0","0","0","1","0","0","0","1","1","100%","40","83%","2","2","0","10","0","3","1","0","23","39%","12","4","25%","4","7","5","5"
"430",21,"C. Torres","222",9,"301","3","3","6","1","0","2","1","0","6","2","0","0","0","88","77%","2","7","57%","26","3","5","2","0.68","38","29%","28","6","17%","13","6","6","9"
"431",9,"Heber","221",14,"1003","11","8","3","1","3","7","2","0","29","15","0","0","0","277","79%","7","5","0","93","14","13","4","4","161","30%","130","59","29%","13","15","12","35"
"432",2,"Warren Creavalle","221",12,"439","4","4","8","0","0","0","2","0","1","0","0","0","0","155","82%","2","2","50%","21","8","27","12","0.03","63","49%","19","6","50%","9","23","39","29"
"433",26,"Abdul0Fatai Alashe","221",13,"554","6","4","7","1","0","0","4","0","7","2","0","0","0","247","86%","0","1","0","30","7","14","5","0.9399999999999999","59","42%","23","13","54%","3","19","22","27"
"434",9,"E. Gallardo","221",7,"235","2","2","5","0","0","0","0","0","5","2","0","0","0","68","66%","4","9","33%","23","4","6","3","0.35","45","31%","28","13","15%","8","4","5","10"
"435",19,"Tomas Jose Conechny","221",8,"205","3","3","5","0","0","1","1","0","3","1","0","0","0","80","75%","1","6","17%","24","3","9","4","0.13","47","34%","30","11","45%","6","10","6","13"
"436",18,"Orji Okwonkwo","221",15,"636","6","6","9","1","1","8","0","0","10","6","0","0","0","163","73%","7","14","29%","84","16","12","5","1.11","126","38%","105","31","29%","37","15","7","13"
